"","year","name","value"
"1",1972,"Jan-Feb ice cover",0.307867130016429
"2",1972,"Mar-Apr ice cover",0.502085259381932
"3",1973,"Jan-Feb ice cover",0.31862398374833
"4",1973,"Mar-Apr ice cover",0.493354204587898
"5",1974,"Jan-Feb ice cover",0.340637202804646
"6",1974,"Mar-Apr ice cover",0.474591375662352
"7",1975,"Jan-Feb ice cover",0.4179523631425
"8",1975,"Mar-Apr ice cover",0.584418101679883
"9",1976,"Jan-Feb ice cover",0.476330153103756
"10",1976,"Mar-Apr ice cover",0.615954880057619
"11",1977,"Jan-Feb ice cover",0.389550893888548
"12",1977,"Mar-Apr ice cover",0.455084017638244
"13",1978,"Jan-Feb ice cover",0.258198917678327
"14",1978,"Mar-Apr ice cover",0.326953359272308
"15",1979,"Jan-Feb ice cover",0.107168224723371
"16",1979,"Mar-Apr ice cover",0.17935804395116
"17",1980,"Jan-Feb ice cover",0.355894235472286
"18",1980,"Mar-Apr ice cover",0.365763770358296
"19",1981,"Jan-Feb ice cover",0.336865304988827
"20",1981,"Mar-Apr ice cover",0.28128640030529
"21",1982,"Jan-Feb ice cover",0.221597650987536
"22",1982,"Mar-Apr ice cover",0.253436124064784
"23",1983,"Jan-Feb ice cover",0.327602314585562
"24",1983,"Mar-Apr ice cover",0.34544925141365
"25",1984,"Jan-Feb ice cover",0.253730607501022
"26",1984,"Mar-Apr ice cover",0.44551814579325
"27",1985,"Jan-Feb ice cover",0.0883218675297285
"28",1985,"Mar-Apr ice cover",0.365865977357151
"29",1986,"Jan-Feb ice cover",0.222883339125466
"30",1986,"Mar-Apr ice cover",0.338114262246937
"31",1987,"Jan-Feb ice cover",0.225968115801394
"32",1987,"Mar-Apr ice cover",0.290130184830692
"33",1988,"Jan-Feb ice cover",0.24585774729382
"34",1988,"Mar-Apr ice cover",0.435054039134828
"35",1989,"Jan-Feb ice cover",0.23947498922226
"36",1989,"Mar-Apr ice cover",0.150025164333067
"37",1990,"Jan-Feb ice cover",0.351259949321847
"38",1990,"Mar-Apr ice cover",0.378020659083855
"39",1991,"Jan-Feb ice cover",0.387974616337524
"40",1991,"Mar-Apr ice cover",0.433937525432213
"41",1992,"Jan-Feb ice cover",0.324801532285525
"42",1992,"Mar-Apr ice cover",0.471232142408838
"43",1993,"Jan-Feb ice cover",0.292450030679137
"44",1993,"Mar-Apr ice cover",0.33390340673478
"45",1994,"Jan-Feb ice cover",0.247353358486377
"46",1994,"Mar-Apr ice cover",0.431896567443436
"47",1995,"Jan-Feb ice cover",0.397516176401624
"48",1995,"Mar-Apr ice cover",0.45912380270022
"49",1996,"Jan-Feb ice cover",0.239726174614796
"50",1996,"Mar-Apr ice cover",0.206128242172363
"51",1997,"Jan-Feb ice cover",0.303347838514098
"52",1997,"Mar-Apr ice cover",0.369376366058546
"53",1998,"Jan-Feb ice cover",0.418333721697615
"54",1998,"Mar-Apr ice cover",0.326443595449698
"55",1999,"Jan-Feb ice cover",0.323930403555743
"56",1999,"Mar-Apr ice cover",0.424637497451455
"57",2000,"Jan-Feb ice cover",0.387907786915016
"58",2000,"Mar-Apr ice cover",0.300828313313238
"59",2001,"Jan-Feb ice cover",0.0965842184441977
"60",2001,"Mar-Apr ice cover",0.208223489482625
"61",2002,"Jan-Feb ice cover",0.454657437358366
"62",2002,"Mar-Apr ice cover",0.257791767713692
"63",2003,"Jan-Feb ice cover",0.237516115031401
"64",2003,"Mar-Apr ice cover",0.254867604774338
"65",2004,"Jan-Feb ice cover",0.235835177937431
"66",2004,"Mar-Apr ice cover",0.292255503847594
"67",2005,"Jan-Feb ice cover",0.194146020379776
"68",2005,"Mar-Apr ice cover",0.295081765056648
"69",2006,"Jan-Feb ice cover",0.395819348534576
"70",2006,"Mar-Apr ice cover",0.321439152046427
"71",2007,"Jan-Feb ice cover",0.286450978230025
"72",2007,"Mar-Apr ice cover",0.369639792521875
"73",2008,"Jan-Feb ice cover",0.328305775532337
"74",2008,"Mar-Apr ice cover",0.515385769101691
"75",2009,"Jan-Feb ice cover",0.416214318112042
"76",2009,"Mar-Apr ice cover",0.416736079857363
"77",2010,"Jan-Feb ice cover",0.365269910433592
"78",2010,"Mar-Apr ice cover",0.492027942839956
"79",2011,"Jan-Feb ice cover",0.278657709902164
"80",2011,"Mar-Apr ice cover",0.30126263171884
"81",2012,"Jan-Feb ice cover",0.424794411647372
"82",2012,"Mar-Apr ice cover",0.530725456303199
"83",2013,"Jan-Feb ice cover",0.376637778453989
"84",2013,"Mar-Apr ice cover",0.464222494297785
"85",2014,"Jan-Feb ice cover",0.208817294510861
"86",2014,"Mar-Apr ice cover",0.275273113250524
"87",2015,"Jan-Feb ice cover",0.143482348414462
"88",2015,"Mar-Apr ice cover",0.275006984013969
"89",2016,"Jan-Feb ice cover",0.134887284199067
"90",2016,"Mar-Apr ice cover",0.236599736893987
"91",2017,"Jan-Feb ice cover",0.148732084781266
"92",2017,"Mar-Apr ice cover",0.252877631439642
"93",2018,"Jan-Feb ice cover",0.0659656468544535
"94",2018,"Mar-Apr ice cover",0.0387203739408945
"95",2019,"Jan-Feb ice cover",0.118201661935884
"96",2019,"Mar-Apr ice cover",0.02344991990489
"97",2020,"Jan-Feb ice cover",0.254346774623193
"98",2020,"Mar-Apr ice cover",0.226371009196883
"99",2021,"Jan-Feb ice cover",0.207138580975005
"100",2021,"Mar-Apr ice cover",0.247556039642247
"101",2022,"Jan-Feb ice cover",0.334587384712006
"102",2022,"Mar-Apr ice cover",0.302351688312461
"103",2023,"Jan-Feb ice cover",0.262770196141514
"104",2023,"Mar-Apr ice cover",0.286489684467117
"105",2024,"Jan-Feb ice cover",0.243398399773011
"106",2024,"Mar-Apr ice cover",0.326781518819815
