Year,Retained_kt,Discarded_females_kt,Discarded_males_kt,Nonbycatch_kt
1982,11.85,1.27,0.02,0.37
1983,12.16,1.24,0.01,0.47
1984,29.94,2.76,0.01,0.5
1985,44.45,4.01,0.01,0.43
1986,46.22,4.25,0.02,0
1987,61.4,5.52,0.03,0
1988,67.79,5.82,0.04,0
1989,73.4,6.68,0.05,0.1
1990,149.1,15.21,0.05,0.71
1991,143,12,0.06,1.5
1992,104.7,17.06,0.12,2.28
1993,67.94,5.32,0.08,1.57
1994,34.13,4.03,0.06,2.67
1995,29.81,5.75,0.02,1.01
1996,54.22,7.44,0.07,0.66
1997,114.4,5.73,0.01,0.82
1998,88.09,4.67,0.01,0.54
1999,15.1,0.52,0,0.47
2000,11.46,0.62,0,0.41
2001,14.8,1.89,0,0.31
2002,12.84,1.47,0,0.17
2003,10.86,0.57,0,0.46
2004,11.29,0.51,0,0.63
2005,16.77,1.36,0,0.2
2006,16.49,1.78,0,0.42
2007,28.59,2.53,0.01,0.18
2008,26.56,2.06,0.01,0.18
2009,21.78,1.23,0.01,0.47
2010,24.61,0.62,0.01,0.14
2011,40.29,1.69,0.18,0.15
2012,30.05,2.32,0.03,0.22
2013,24.49,3.27,0.07,0.11
2014,30.82,3.52,0.17,0.13
2015,18.42,2.96,0.07,0.13
2016,9.67,1.31,0.02,0.06
2017,8.6,1.93,0.02,0.04
2018,12.51,2.86,0.02,0.23
2019,15.43,5.07,0.02,0.24
2020,20.41,5.8,0,0.07
2021,2.48,1.16,0,0.06
2022,NA,NA,NA,0.05
2023,NA,NA,NA,0.07
