"","CRUISE","tot_ms"
"1",199001,2659
"2",199101,3030
"3",199201,2776
"4",199301,1878
"5",199401,2206
"6",199501,2339
"7",199601,1835
"8",199701,2787
"9",199801,4100
"10",199901,1389
"11",200001,2376
"12",200101,3107
"13",200201,1063
"14",200301,1580
"15",200401,691
"16",200501,1335
"17",200601,1225
"18",200701,1435
"19",200901,244
"20",201001,428
"21",201101,226
"22",201201,1
"23",201301,697
"24",201601,1
"25",201701,2021
"26",201801,1434
"27",202101,2355
"28",202201,1371
"29",202301,1544
"30",202401,1574
