"","SPECIES","BIN","MIDPOINT","MINIMUM"
"out","SNOW","[3.9,3.925)","3.9125","2.25422595194128"
"out.1","SNOW","[3.925,3.95)","3.9375","2.25979149166874"
"out.2","SNOW","[3.95,3.975)","3.9625","2.25920108554927"
"out.3","SNOW","[3.975,4)","3.9875","2.34946208289591"
"out.4","SNOW","[4,4.025)","4.0125","2.35440129734202"
"out.5","SNOW","[4.025,4.05)","4.0375","2.43405536623055"
"out.6","SNOW","[4.05,4.075)","4.0625","2.41746867357163"
"out.7","SNOW","[4.075,4.1)","4.0875","2.44397234469931"
"out.8","SNOW","[4.1,4.125)","4.1125","2.47292974814332"
"out.9","SNOW","[4.125,4.15)","4.1375","2.5101527695843"
"out.10","SNOW","[4.15,4.175)","4.1625","2.53157728874313"
"out.11","SNOW","[4.175,4.2)","4.1875","2.55816282923284"
"out.12","SNOW","[4.2,4.225)","4.2125","2.5951136124743"
"out.13","SNOW","[4.225,4.25)","4.2375","2.61389472056397"
"out.14","SNOW","[4.25,4.275)","4.2625","2.64328709678057"
"out.15","SNOW","[4.275,4.3)","4.2875","2.66063305584402"
"out.16","SNOW","[4.3,4.325)","4.3125","2.70063403050737"
"out.17","SNOW","[4.325,4.35)","4.3375","2.72737115448652"
"out.18","SNOW","[4.35,4.375)","4.3625","2.767684242455"
"out.19","SNOW","[4.375,4.4)","4.3875","2.79008265320038"
"out.20","SNOW","[4.4,4.425)","4.4125","2.83298249781889"
"out.21","SNOW","[4.425,4.45)","4.4375","2.87047845169888"
"out.22","SNOW","[4.45,4.475)","4.4625","2.89577746815632"
"out.23","SNOW","[4.475,4.5)","4.4875","2.9316672391491"
"out.24","SNOW","[4.5,4.525)","4.5125","2.95642636036464"
"out.25","SNOW","[4.525,4.55)","4.5375","2.98770472581218"
"out.26","SNOW","[4.55,4.575)","4.5625","3.00920073512563"
"out.27","SNOW","[4.575,4.6)","4.5875","3.04241570647379"
