"","YEAR","tot_ms"
"1",1990,2568
"2",1991,3395
"3",1992,1890
"4",1993,1242
"5",1994,1176
"6",1995,1152
"7",1996,780
"8",1997,524
"9",1998,980
"10",1999,774
"11",2000,1517
"12",2001,1662
"13",2002,1129
"14",2003,1713
"15",2004,1844
"16",2005,1995
"17",2006,3472
"18",2007,2310
"19",2008,0
"20",2009,1026
"21",2010,557
"22",2011,140
"23",2012,43
"24",2013,0
"25",2014,0
"26",2015,2
"27",2016,1373
"28",2017,3604
"29",2018,2422
"30",2019,1640
"31",2021,2148
"32",2022,1723
"33",2023,2495
"34",2024,1895
